Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Mauritania,4.4,9.15,13.71,4.36,8.89,16.68,5.84,11.63,14.31,0.1,0.7,2.15,227.2,454.3,2065.2,4749.9
Mauritius,5.62,11.48,16.09,3.5,6.17,15.03,8.16,16.27,18.84,0.24,0.87,2.36,4307.6,5128.1,10256.2,23589.3
Mexico,8.23,16.46,22.01,4.07,8.17,16,12.95,25.78,29.53,1.9,2.38,3.52,4368.7,5978.2,11496.5,26442
Micronesia,2.26,4.37,8.81,1.56,2.95,7.96,1.96,3.78,5.46,0.11,0.74,2.26,1708.4,3342.6,3714,8542.1
Republic of Moldova,10.14,20.1,28.99,6.22,11.39,24.68,15,29.84,36.81,1.88,2.36,3.5,1257.2,2742.9,5714.4,13143.2
Monaco,80.29,183.31,221.74,48.56,112.92,167.47,132.74,265.44,285.89,0,0,0,110796.6,163786.3,240862.2,553983
Mongolia,2.63,5.23,9.61,1.64,3.3,8.56,2.59,5.04,6.79,0.11,0.74,2.26,2320.9,1463.2,5045.5,11604.7
Montenegro,9.97,19.89,28.51,5.82,11.64,22.49,14.76,29.36,36.16,1.12,1.67,2.97,4643,8276.6,10093.4,23214.9
Morocco,2.58,5.29,9.54,1.93,3.95,9.46,2.45,4.79,6.53,0.08,0.28,1.05,826.1,1617.7,3442,7916.6
Mozambique,1.7,3.58,7.51,1.75,2.6,7.99,0.8,1.55,2.77,0.09,0.42,1.4,61.4,201,558.3,1284.1
Myanmar,1.95,3.8,8.06,1.81,2.7,9.85,1.27,2.43,3.84,0.11,0.73,2.24,195.4,379.2,1149.2,2643.2
Namibia,3.27,6.93,11.05,2.28,4.72,10.27,3.7,7.35,9.19,1.81,2.3,3.45,2565.9,3471.5,5031.1,11571.6
Nauru,13.9,50.71,82.05,9.62,30.45,61.69,5.54,11.04,19.02,0,0,0,6105.2,8140.2,11970.9,27533.2
Nepal,1.89,3.72,7.87,1.7,2.46,9.39,1.2,2.28,3.58,0.1,0.62,1.93,240.6,467.8,1336.5,3074.1
Netherlands,37.27,97.24,131.23,22.13,60.09,88.62,51.82,103.59,115.52,2.01,2.48,3.59,43339,51322.5,57025,131157.5
New Zealand,33.4,89.48,122.01,19.56,54.95,80.56,45.05,90.07,100.32,0.73,1.31,2.7,35829.8,42124.2,48418.6,111362.8
Nicaragua,2.6,5.11,9.61,1.64,3.13,8.47,2.6,5.08,6.91,0.09,0.47,1.53,766.8,1511.1,2255.4,5187.5
Niger,1.63,3.48,7.35,1.68,2.47,8.35,0.67,1.29,2.46,0.1,0.69,2.13,46.8,146.4,585.4,1346.4
Nigeria,2.03,4.22,8.25,1.91,2.99,9.51,1.41,2.77,4.15,0.09,0.49,1.6,194.6,367.6,2162.6,4974.1
North Korea,1.85,3.66,7.85,1.33,2.59,6.89,1.12,2.1,3.47,0.1,0.58,1.85,0,0,0,0
North Macedonia,5.98,11.92,18.75,3.71,7.43,15.65,7.83,15.52,19.97,1.44,1.96,3.19,3427.6,4745.9,6591.5,15160.4
Norway,65.81,154.35,195.39,40.59,96.99,145.64,103.4,206.76,228.25,0.11,0.74,2.26,88070.6,103292.7,108729.2,250077.1
Oman,20.06,63.31,95.62,12.07,40.33,61.19,17.52,35.05,43.3,0.46,1.06,2.51,6514.8,7767.6,25056.8,57630.6
Pakistan,1.83,3.63,7.82,1.73,2.57,9.59,1.03,1.95,3.3,0.08,0.4,1.35,158.9,317.8,1588.9,3654.4
Palau,11.11,22.11,28.98,6.09,12.17,22.36,17.95,35.75,41.13,0.11,0.74,2.26,1292.2,7494.7,12921.8,29720.2
Panama,16.8,57.1,86.04,8.17,32.39,46.56,13.52,27.02,30.57,0.55,1.15,2.57,9373.1,11108.9,17357.6,39922.5
Papua New Guinea,2.54,4.86,9.53,2.49,3.94,11.02,2.29,4.44,6.31,0.11,0.72,2.21,249.3,498.5,3115.9,7166.6
Paraguay,3.45,6.93,11.41,2.04,4.12,9.79,4.05,7.97,9.91,1.92,2.4,3.53,3076.5,4184.1,6153.1,14152
Peru,5.31,10.68,15.49,2.76,5.56,11.94,7.55,14.97,17.55,0.37,0.99,2.45,2636.6,3562.9,7125.8,16389.4
Philippines,2.54,5.02,9.41,1.65,3.3,8.55,2.4,4.65,6.37,0.1,0.67,2.08,559.8,1119.5,3498.5,8046.6
Poland,18.13,59.76,90.65,9.56,35.17,51.69,15.15,30.25,35.72,0.11,0.74,2.26,8409.6,9904.6,18688,42982.4
Portugal,23.16,69,100.08,13.19,42.22,61.41,25.95,51.87,59.66,1.29,1.82,3.09,17405.8,20592.8,24515.3,56385.1
Puerto Rico,29.3,82.04,112.34,15.99,48.05,70.36,36.89,73.76,80.12,0.22,0.84,2.34,24998.1,23941.9,35208.6,80979.9
Qatar,40.4,104.07,138.39,24.66,65.49,98.66,55.96,111.94,123.8,2.12,3.22,5.86,19285.5,22792,87661.5,201621.3
Romania,16.71,56.87,88.78,9.3,34.67,51.59,11.74,23.45,30.08,1.79,2.27,3.43,6156.9,7261.9,15786.8,36309.6
Russian Federation,11.01,21.95,31.66,6.83,13.67,25.97,16.22,32.28,40.27,0.35,0.96,2.43,5955.6,8093.5,15270.7,35122.6
Rwanda,1.72,3.88,7.57,1.28,2.66,6.58,0.85,1.65,2.89,0.08,0.41,1.37,96.6,299.5,966.2,2222.3
Samoa,3.13,6.09,10.81,2.23,4.32,10.27,3.6,7.06,9.21,0.11,0.74,2.25,1685.5,2284.8,3745.6,8614.8
San Marino,38.81,100.72,133.76,23.04,62.33,94.46,53.28,106.51,117.56,0,0,0,24742.1,37388.1,54982.5,126459.6
Saudi Arabia,19.81,62.68,94.17,11.74,39.74,60.8,17.24,34.49,42.36,0.85,1.42,2.78,11874.7,14006,30447.9,70030.1
Senegal,1.79,3.9,7.79,1.43,3.02,7.84,0.92,1.79,3.12,0.1,0.64,2,255.8,479.6,1598.7,3677.1
Serbia,6.69,13.3,20.42,4.01,8.03,16.68,9.11,18.07,22.88,1.9,2.38,3.51,5818,8011.7,9537.7,21936.7
Seychelles,16.51,55.72,82.88,8.19,32.19,44.54,15.23,30.52,33.79,0.55,1.15,2.58,4372.7,5167.7,13250.5,30476
Sierra Leone,1.62,3.54,7.1,1.62,2.33,8.63,0.81,1.56,2.54,0.11,0.73,2.24,47.6,147.5,475.8,1094.3
Singapore,37.97,99.15,132.56,22.5,61.19,92.48,51.65,103.27,114.23,0.16,0.79,2.3,24842.3,29810.7,82807.6,190457.5
Slovakia,31.88,85.91,115.3,21.12,54.62,98.54,40.02,80,90.15,0.11,0.74,2.26,10415.8,12116.4,21256.8,48890.7
Slovenia,24.9,73.34,105.96,13.91,43.85,65.06,27.38,54.73,62.43,1.78,2.27,3.43,18201.2,21329.5,28439.3,65410.5
