Country,DailyIron_Preg_Low,DailyIron_Preg_Base,DailyIron_Preg_High,DailyIron_WRA_Low,DailyIron_WRA_Base,DailyIron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Staple_Low,Staple_Base,Staple_High
Gabon,5.46,10.79,14.5,,,,8.77,17.49,20.28,0.11,0.74,2.26
Gambia,1.42,2.62,5.81,1.74,2.65,9.34,1.03,2.01,3.28,0.11,0.74,2.26
Georgia,4.08,7.68,13.51,3.55,6.11,15.95,,,,,,
Germany,38.02,99.47,134.23,20.89,57.87,87.11,,,,,,
Ghana,1.75,3.34,6.5,,,,1.76,3.46,5.03,0.11,0.74,2.26
Greece,24.28,71.01,99.49,15.86,43.66,81.44,,,,,,
Grenada,6.43,12.53,16.85,,,,,,,,,
Guatemala,3.28,6.26,9.82,2.1,4.14,8.88,,,,2.01,2.48,3.59
Guinea,1.44,2.78,5.87,1.31,2.68,6.51,1.09,2.13,3.6,0.11,0.74,2.26
Guinea-Bissau,1.55,2.93,6.07,1.85,2.81,9.47,1.32,2.58,3.98,0.11,0.74,2.26
Guyana,3.73,7.05,11.45,2.98,5.02,13.72,,,,0.11,0.74,2.26
Haiti,1.81,3.29,6.83,1.48,2.87,6.84,,,,0.11,0.74,2.26
Honduras,2.95,5.48,9.51,2.58,4.21,12.05,,,,0.08,0.26,0.99
Hungary,17.73,57.96,86.91,,,,,,,,,
Iceland,45.59,114.76,152.72,27.05,70.12,105.68,,,,,,
India,1.5,2.72,5.74,,,,,,,0.11,0.74,2.26
Indonesia,2.01,3.65,7.06,1.98,3.04,10.36,,,,0.11,0.74,2.26
Iran,2.25,4.3,7.44,1.49,2.99,7.04,,,,,,
Iraq,2.53,4.87,8.95,2.02,4.05,9.06,,,,0.11,0.74,2.26
Ireland,39.08,101.42,136.31,23.13,62.43,94.65,,,,,,
Israel,35.03,92.76,126.63,,,,,,,,,
Italy,25.2,73.06,105.68,,,,,,,,,
Jamaica,4.51,8.71,12.56,,,,,,,,,
Japan,29.05,81.23,113.32,16.91,50.05,76.04,,,,0.11,0.74,2.26
Jordan,2.85,5.42,9.56,,,,,,,,,
Kazakhstan,6.01,11.62,17.42,4.23,7.42,18.07,,,,,,
Kenya,1.65,3.18,6.39,1.46,2.92,6.69,1.46,2.87,4.42,0.08,0.26,0.99
Kiribati,1.23,2.16,5.45,1.68,3.32,7.56,,,,0.11,0.74,2.26
Kuwait,21.3,65.39,95.52,13.91,39.2,74.89,,,,0.11,0.74,2.26
Kyrgyzstan,3.46,6.58,11.65,2.59,5.11,11.07,,,,,,
Laos,1.82,3.29,6.66,1.48,2.89,7.02,,,,0.11,0.74,2.26
Latvia,31.69,86.12,116.8,20.22,51.9,93.79,,,,,,
Lebanon,21.04,41.92,50.32,13.76,27.54,43.78,,,,,,
Lesotho,1.54,3.03,5.85,1.26,2.56,5.94,1.44,2.83,4.19,0.08,0.26,0.99
Liberia,1.04,2,4.5,0.87,1.77,4.75,0.61,1.17,2.07,0.11,0.74,2.26
Libya,5.46,10.51,15.59,3.82,6.83,16.39,,,,,,
Lithuania,41.51,106.22,139.5,24.28,64.75,97.59,,,,,,
Luxembourg,77.08,177.74,219.14,43.51,103.03,155.17,,,,,,
Madagascar,1.14,2.15,4.9,,,,0.76,1.47,2.61,0.11,0.74,2.26
Malawi,1.35,2.58,5.61,1.29,2.55,5.7,0.94,1.83,3.19,0.08,0.26,0.99
Malaysia,5.82,11.17,16.24,3.81,6.68,16.38,,,,0.11,0.74,2.26
Maldives,5.03,9.64,13.74,3.47,6.06,14.93,,,,0.11,0.74,2.26
Mali,1.36,2.49,5.71,1.74,2.66,9.24,0.88,1.7,2.96,0.09,0.5,1.64
Malta,24.51,71.42,99.98,16.12,44.24,82.46,,,,,,
Marshall Islands,3.55,6.73,11.17,,,,,,,0.11,0.74,2.26
Mauritania,3.94,7.78,11.46,4.22,8.49,15.24,5.84,11.63,14.3,0.11,0.74,2.26
Mauritius,5.3,10.41,14.23,3.5,6.17,15.03,8.32,16.59,19.19,0.11,0.74,2.26
Mexico,7.78,15.25,19.76,3.93,7.81,14.55,,,,2.01,2.48,3.59
Micronesia,1.83,3.3,6.6,,,,,,,0.11,0.74,2.26
Republic of Moldova,9.7,18.99,26.81,6.22,11.39,24.68,,,,2.01,2.48,3.59
Monaco,81.28,185.31,223.8,,,,,,,,,
Mongolia,2.16,4,7.26,1.49,2.93,7.04,,,,,,
Montenegro,9.48,18.65,26.07,5.66,11.27,20.92,,,,,,
Morocco,2.12,4.01,7.26,1.79,3.57,7.99,,,,0.08,0.26,0.99
Mozambique,1.31,2.4,5.57,1.75,2.6,7.99,0.8,1.56,2.78,0.08,0.26,0.99
Myanmar,1.55,2.72,6.09,1.81,2.7,9.85,,,,0.11,0.74,2.26
