Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Indonesia,2.18,4.79,8.83,2.01,3.07,10.62,1.14,2.16,3.9,0.09,0.61,1.89,957.6,1292.8,4788,11012.4
Iran,21.4,43.49,67.4,9.92,19.94,34.4,15.71,31.31,48.5,0.05,0.19,0.44,4576.2,6257.2,4669.6,10740
Iraq,2.8,6.29,11.59,2.2,4.51,11.26,1.75,3.41,6.64,0.03,0.21,0.56,1662.4,2256.1,5937.2,13655.5
Ireland,18.88,59.83,98.06,10.81,37.71,56.4,8.2,16.37,27.23,0.28,0.42,0.66,53031.5,62390,103983.3,239161.6
Israel,33.24,88.24,140.83,19.76,55.3,80.2,19.87,39.7,62.24,0.12,0.28,0.60,32409.3,38451.7,54930.9,126341.2
Italy,16.51,54.76,90.38,10.14,36.08,51.6,7.23,14.42,24.3,0.06,0.14,0.24,23300.2,27125.6,34776.4,79985.8
Jamaica,5.14,10.73,17.95,2.96,5.79,12.72,3.47,6.81,11.11,0.28,0.55,1.13,2539.8,3446.9,6047.2,13908.6
Japan,26.96,75.91,120.42,15.44,47.05,69.73,13.94,27.86,43.24,0.08,0.51,1.50,27894.2,32996.8,34017.3,78239.7
Jordan,14.35,29.24,46.26,7.1,14.05,25.88,10.47,20.83,32.79,0.06,0.25,0.62,2198.6,3017.7,4311,9915.3
Kazakhstan,6.76,13.85,23.93,4.56,8.05,19.71,4.89,9.62,16.51,0.04,0.13,0.26,2183.5,2987.9,11492,26431.7
Kenya,1.81,4.48,7.81,1.56,3.21,7.9,0.9,1.75,3.27,0.07,0.37,1.04,335.9,671.8,2099.3,4828.4
Kiribati,1.5,3.49,6.86,1.75,3.53,9.03,0.65,1.14,2.48,0.08,0.54,1.66,834,1633.9,1702,3914.5
Kuwait,19.55,60.85,96.51,12.57,36.44,68.53,8.39,16.8,26.59,0.10,0.40,1.08,14377.8,16842.6,41079.5,94482.9
Kyrgyzstan,3.3,7.02,13.33,2.65,5.29,12.81,2.27,4.39,8.44,0.02,0.09,0.30,281.4,546.2,1655.1,3806.7
Laos,1.75,3.91,7.6,1.41,2.81,7.98,0.83,1.51,3.03,0.11,0.72,2.22,205.4,390.3,2054.4,4725.2
Latvia,20.46,62.64,100.96,14.36,40.08,75.97,9.8,19.56,32.75,0.05,0.14,0.29,9583,11325.3,21779.5,50092.9
Lebanon,43.12,86.99,131.73,28.41,56.93,89,31.86,63.62,96.14,0.02,0.12,0.38,2812.6,3888,4136.1,9513.1
Lesotho,1.75,4.47,7.62,1.39,2.92,7.39,0.84,1.62,3.05,0.07,0.25,0.91,339.5,659.6,969.9,2230.9
Liberia,1.3,3.53,6.12,1.04,2.23,6.31,0.47,0.88,1.79,0.10,0.72,2.19,83,279.2,754.5,1735.4
Libya,5.19,10.76,18.74,3.71,6.58,16.66,3.54,6.98,12,0.03,0.14,0.32,738.8,3895.3,6716.1,15447
Lithuania,21.69,65.42,104.48,11.96,40.05,58.43,9.89,19.74,30.58,0.04,0.11,0.18,12281.8,14286.9,25064.8,57649.1
Luxembourg,19.42,61.13,101.2,10.48,36.92,54.07,8.6,17.17,28.43,0.07,0.19,0.42,52502.5,61253,125006,287513.9
Madagascar,1.36,3.53,6.43,1.17,2.03,5.82,0.59,1.13,2.27,0.10,0.68,2.09,31,93,516.6,1188.2
