location_name year_id rei_name Prevalence Description
Australia 1990 "Severe anemia" 3474 Observed
Australia 1995 "Mild anemia" 362429 Observed
Australia 1995 "Moderate anemia" 103056 Observed
Australia 1995 "Severe anemia" 3594 Observed
Australia 2000 "Mild anemia" 350476 Observed
Australia 2000 "Moderate anemia" 99912 Observed
Australia 2000 "Severe anemia" 3517 Observed
Australia 2005 "Mild anemia" 352146 Observed
Australia 2005 "Moderate anemia" 101200 Observed
Australia 2005 "Severe anemia" 3687 Observed
Australia 2010 "Mild anemia" 364704 Observed
Australia 2010 "Moderate anemia" 105309 Observed
Australia 2010 "Severe anemia" 3930 Observed
Australia 2015 "Mild anemia" 381243 Observed
Australia 2015 "Moderate anemia" 110357 Observed
Australia 2015 "Severe anemia" 4171 Observed
Australia 2020 "Mild anemia" 398745 Observed
Australia 2020 "Moderate anemia" 115159 Observed
Australia 2020 "Severe anemia" 4357 Observed
Australia 2021 "Mild anemia" 403610 Observed
Australia 2021 "Moderate anemia" 116641 Observed
Australia 2021 "Severe anemia" 4428 Observed
Australia 2030 "Mild anemia" 448525.3789772125 Predicted_trend
Australia 2030 "Moderate anemia" 130435.85357153568 Predicted_trend
Australia 2030 "Severe anemia" 5097.874982105706 Predicted_trend
Australia 2030 "Mild anemia" 443539.5142805332 Predicted_stable
Australia 2030 "Moderate anemia" 126924.39848668134 Predicted_stable
Australia 2030 "Severe anemia" 4746.0146630737945 Predicted_stable
Austria 1990 "Mild anemia" 163115 Observed
Austria 1990 "Moderate anemia" 32981 Observed
Austria 1990 "Severe anemia" 807 Observed
Austria 1995 "Mild anemia" 150657 Observed
Austria 1995 "Moderate anemia" 29255 Observed
Austria 1995 "Severe anemia" 685 Observed
Austria 2000 "Mild anemia" 145523 Observed
Austria 2000 "Moderate anemia" 28167 Observed
Austria 2000 "Severe anemia" 641 Observed
Austria 2005 "Mild anemia" 144602 Observed
Austria 2005 "Moderate anemia" 29798 Observed
Austria 2005 "Severe anemia" 721 Observed
Austria 2010 "Mild anemia" 138614 Observed
Austria 2010 "Moderate anemia" 29441 Observed
Austria 2010 "Severe anemia" 740 Observed
Austria 2015 "Mild anemia" 132011 Observed
Austria 2015 "Moderate anemia" 28057 Observed
Austria 2015 "Severe anemia" 703 Observed
Austria 2020 "Mild anemia" 127800 Observed
Austria 2020 "Moderate anemia" 27152 Observed
Austria 2020 "Severe anemia" 680 Observed
Austria 2021 "Mild anemia" 127580 Observed
Austria 2021 "Moderate anemia" 27117 Observed
Austria 2021 "Severe anemia" 681 Observed
Austria 2030 "Mild anemia" 126026.18232572768 Predicted_trend
Austria 2030 "Moderate anemia" 26899.099389421346 Predicted_trend
Austria 2030 "Severe anemia" 693.6882381200501 Predicted_trend
Austria 2030 "Mild anemia" 125371.34323414568 Predicted_stable
Austria 2030 "Moderate anemia" 25988.171870708167 Predicted_stable
Austria 2030 "Severe anemia" 634.024678689224 Predicted_stable
Azerbaijan 1990 "Mild anemia" 351385 Observed
Azerbaijan 1990 "Moderate anemia" 342087 Observed
Azerbaijan 1990 "Severe anemia" 38588 Observed
Azerbaijan 1995 "Mild anemia" 376198 Observed
Azerbaijan 1995 "Moderate anemia" 381547 Observed
Azerbaijan 1995 "Severe anemia" 44354 Observed
Azerbaijan 2000 "Mild anemia" 433387 Observed
Azerbaijan 2000 "Moderate anemia" 417866 Observed
Azerbaijan 2000 "Severe anemia" 44241 Observed
Azerbaijan 2005 "Mild anemia" 510127 Observed
Azerbaijan 2005 "Moderate anemia" 438069 Observed
Azerbaijan 2005 "Severe anemia" 38435 Observed
Azerbaijan 2010 "Mild anemia" 558081 Observed
Azerbaijan 2010 "Moderate anemia" 425841 Observed
Azerbaijan 2010 "Severe anemia" 31692 Observed
Azerbaijan 2015 "Mild anemia" 564016 Observed
Azerbaijan 2015 "Moderate anemia" 408387 Observed
Azerbaijan 2015 "Severe anemia" 29366 Observed
Azerbaijan 2020 "Mild anemia" 554578 Observed
Azerbaijan 2020 "Moderate anemia" 397953 Observed
Azerbaijan 2020 "Severe anemia" 29716 Observed
Azerbaijan 2021 "Mild anemia" 555260 Observed
Azerbaijan 2021 "Moderate anemia" 399134 Observed
Azerbaijan 2021 "Severe anemia" 30141 Observed
Azerbaijan 2030 "Mild anemia" 563846.5707044452 Predicted_trend
Azerbaijan 2030 "Moderate anemia" 412224.4518762844 Predicted_trend
Azerbaijan 2030 "Severe anemia" 34196.900018271655 Predicted_trend
Azerbaijan 2030 "Mild anemia" 551498.9438081256 Predicted_stable
Azerbaijan 2030 "Moderate anemia" 414141.7968841827 Predicted_stable
Azerbaijan 2030 "Severe anemia" 33016.544835628076 Predicted_stable
Bahamas 1990 "Mild anemia" 16372 Observed
Bahamas 1990 "Moderate anemia" 10664 Observed
Bahamas 1990 "Severe anemia" 741 Observed
Bahamas 1995 "Mild anemia" 18061 Observed
Bahamas 1995 "Moderate anemia" 11747 Observed
Bahamas 1995 "Severe anemia" 802 Observed
Bahamas 2000 "Mild anemia" 19440 Observed
Bahamas 2000 "Moderate anemia" 11723 Observed
Bahamas 2000 "Severe anemia" 724 Observed
Bahamas 2005 "Mild anemia" 21067 Observed
Bahamas 2005 "Moderate anemia" 12321 Observed
Bahamas 2005 "Severe anemia" 728 Observed
Bahamas 2010 "Mild anemia" 22236 Observed
Bahamas 2010 "Moderate anemia" 12726 Observed
Bahamas 2010 "Severe anemia" 730 Observed
Bahamas 2015 "Mild anemia" 23513 Observed
Bahamas 2015 "Moderate anemia" 13039 Observed
Bahamas 2015 "Severe anemia" 713 Observed
Bahamas 2020 "Mild anemia" 23689 Observed
Bahamas 2020 "Moderate anemia" 13204 Observed
Bahamas 2020 "Severe anemia" 722 Observed
Bahamas 2021 "Mild anemia" 23717 Observed
Bahamas 2021 "Moderate anemia" 13256 Observed
Bahamas 2021 "Severe anemia" 727 Observed
Bahamas 2030 "Mild anemia" 24015.623085540912 Predicted_trend
Bahamas 2030 "Moderate anemia" 13746.964329542914 Predicted_trend
Bahamas 2030 "Severe anemia" 773.403249845475 Predicted_trend
Bahamas 2030 "Mild anemia" 24577.18166075477 Predicted_stable
Bahamas 2030 "Moderate anemia" 13716.582435134671 Predicted_stable
Bahamas 2030 "Severe anemia" 751.735009485612 Predicted_stable
Bahrain 1990 "Mild anemia" 48464 Observed
Bahrain 1990 "Moderate anemia" 19173 Observed
Bahrain 1990 "Severe anemia" 432 Observed
Bahrain 1995 "Mild anemia" 54856 Observed
Bahrain 1995 "Moderate anemia" 21188 Observed
Bahrain 1995 "Severe anemia" 423 Observed
Bahrain 2000 "Mild anemia" 61625 Observed
Bahrain 2000 "Moderate anemia" 22642 Observed
Bahrain 2000 "Severe anemia" 409 Observed
Bahrain 2005 "Mild anemia" 80478 Observed
